matricula,email,delegacion,grupo
97160572,test@pruebas.com,16,5
99015137,test@pruebas.com,14,5
7424426,test@pruebas.com,21,5
98086765,test@pruebas.com,8,5
98204584,test@pruebas.com,20,5
98155636,test@pruebas.com,15,5
10008284,test@pruebas.com,28,5
98370163,test@pruebas.com,35,5
991441295,test@pruebas.com,14,5
98313959,test@pruebas.com,31,5
98154548,test@pruebas.com,15,5
9119825,test@pruebas.com,1,5
97160572,test@pruebas.com,16,5
99274050,test@pruebas.com,27,5
98150351,test@pruebas.com,15,5
98225282,test@pruebas.com,30,5
99044711,test@pruebas.com,4,5
9270663,test@pruebas.com,27,5
99044956,test@pruebas.com,4,5
7483767,test@pruebas.com,19,5
99040385,test@pruebas.com,4,5
99122332,test@pruebas.com,12,5
98351911,test@pruebas.com,35,5
97050109,test@pruebas.com,5,5
98076313,test@pruebas.com,7,5
98053436,test@pruebas.com,5,5
99108837,test@pruebas.com,12,5
98265289,test@pruebas.com,26,5
98294425,test@pruebas.com,29,5
991441203,test@pruebas.com,14,5
98051020,test@pruebas.com,12,5
8274274,test@pruebas.com,31,5
98378411,test@pruebas.com,38,5
10041419,test@pruebas.com,17,5
99359782,test@pruebas.com,35,5
98370731,test@pruebas.com,37,5
9068104,test@pruebas.com,36,5
99025130,test@pruebas.com,2,5
99233193,test@pruebas.com,23,5
8646457,test@pruebas.com,37,5
8138621,test@pruebas.com,39,5
6848028,test@pruebas.com,31,5
98208679,test@pruebas.com,14,5
99279488,test@pruebas.com,27,5
98295358,test@pruebas.com,29,5
99045344,test@pruebas.com,4,5
99328377,test@pruebas.com,23,5
98388325,test@pruebas.com,37,5
97371380,test@pruebas.com,37,5
99015981,test@pruebas.com,11,5
98388315,test@pruebas.com,38,5
98253416,test@pruebas.com,20,5
98087036,test@pruebas.com,27,5
97371487,test@pruebas.com,37,5
98378411,test@pruebas.com,37,5
98272280,test@pruebas.com,27,5
98170587,test@pruebas.com,37,5
98388305,test@pruebas.com,37,5
98388311,test@pruebas.com,37,5
98388405,test@pruebas.com,37,5
98386651,test@pruebas.com,38,5
98211582,test@pruebas.com,21,5
98378433,test@pruebas.com,37,5
98388297,test@pruebas.com,37,5
98386551,test@pruebas.com,38,5
98386553,test@pruebas.com,38,5
98386591,test@pruebas.com,38,5
98386605,test@pruebas.com,38,5
98087012,test@pruebas.com,5,5
98055489,test@pruebas.com,5,5
99126748,test@pruebas.com,12,5
991433419,test@pruebas.com,14,5
97201255,test@pruebas.com,20,5
98226983,test@pruebas.com,22,5
99277295,test@pruebas.com,27,5
98317305,test@pruebas.com,31,5
98317360,test@pruebas.com,31,5
98072946,test@pruebas.com,33,5
98331099,test@pruebas.com,33,5
97153765,test@pruebas.com,36,5
98368572,test@pruebas.com,36,5
98368601,test@pruebas.com,36,5
98368681,test@pruebas.com,36,5
98368691,test@pruebas.com,36,5
98368714,test@pruebas.com,36,5
98368720,test@pruebas.com,36,5
98378387,test@pruebas.com,37,5
98388300,test@pruebas.com,38,5
98388348,test@pruebas.com,38,5
98023789,test@pruebas.com,27,5
98314321,test@pruebas.com,31,5
98055545,test@pruebas.com,5,5
98178077,test@pruebas.com,11,5
99138693,test@pruebas.com,13,5
991433340,test@pruebas.com,14,5
991433505,test@pruebas.com,14,5
991433345,test@pruebas.com,14,5
99284865,test@pruebas.com,22,5
98272299,test@pruebas.com,27,5
98317277,test@pruebas.com,31,5
98322914,test@pruebas.com,31,5
98322918,test@pruebas.com,31,5
98331721,test@pruebas.com,33,5
97153789,test@pruebas.com,36,5
98368629,test@pruebas.com,36,5
98368662,test@pruebas.com,36,5
98368701,test@pruebas.com,36,5
98368664,test@pruebas.com,36,5
98368697,test@pruebas.com,36,5
98368709,test@pruebas.com,36,5
98226969,test@pruebas.com,37,5
98316090,test@pruebas.com,37,5
98388422,test@pruebas.com,38,5
98115067,test@pruebas.com,11,5
97201369,test@pruebas.com,20,5
98368715,test@pruebas.com,36,5
98055472,test@pruebas.com,5,5
99064251,test@pruebas.com,6,5
98115055,test@pruebas.com,11,5
991433245,test@pruebas.com,14,5
991433321,test@pruebas.com,14,5
991433508,test@pruebas.com,14,5
98168162,test@pruebas.com,16,5
97201390,test@pruebas.com,20,5
98253419,test@pruebas.com,20,5
98226988,test@pruebas.com,22,5
99246117,test@pruebas.com,33,5
98331744,test@pruebas.com,33,5
98331745,test@pruebas.com,33,5
98331826,test@pruebas.com,33,5
98368591,test@pruebas.com,36,5
98317324,test@pruebas.com,36,5
98378311,test@pruebas.com,37,5
98378334,test@pruebas.com,37,5
98317301,test@pruebas.com,37,5
98388281,test@pruebas.com,37,5
98378325,test@pruebas.com,37,5
98227019,test@pruebas.com,22,5
98368649,test@pruebas.com,36,5
991433392,test@pruebas.com,14,5
98055507,test@pruebas.com,5,5
991433360,test@pruebas.com,14,5
991433343,test@pruebas.com,14,5
98168171,test@pruebas.com,16,5
98168155,test@pruebas.com,16,5
97201199,test@pruebas.com,20,5
98227021,test@pruebas.com,22,5
98272320,test@pruebas.com,27,5
98331835,test@pruebas.com,33,5
98368608,test@pruebas.com,36,5
98368651,test@pruebas.com,36,5
98368710,test@pruebas.com,36,5
98368657,test@pruebas.com,36,5
98368658,test@pruebas.com,36,5
98378385,test@pruebas.com,37,5
98388360,test@pruebas.com,37,5
99236360,test@pruebas.com,37,5
98388423,test@pruebas.com,37,5
98377382,test@pruebas.com,37,5
98368721,test@pruebas.com,36,5
99015991,test@pruebas.com,1,5
98055718,test@pruebas.com,5,5
98086984,test@pruebas.com,8,5
99064240,test@pruebas.com,14,5
991433494,test@pruebas.com,14,5
991433497,test@pruebas.com,14,5
98227553,test@pruebas.com,22,5
99186693,test@pruebas.com,22,5
99285462,test@pruebas.com,22,5
99246114,test@pruebas.com,24,5
98168194,test@pruebas.com,36,5
97153832,test@pruebas.com,36,5
98378412,test@pruebas.com,37,5
98378391,test@pruebas.com,37,5
98382698,test@pruebas.com,37,5
98085543,test@pruebas.com,14,5
98085558,test@pruebas.com,14,5
98225254,test@pruebas.com,14,5
98262539,test@pruebas.com,14,5
99015568,test@pruebas.com,14,5
99063628,test@pruebas.com,14,5
991429399,test@pruebas.com,14,5
991429435,test@pruebas.com,14,5
991429457,test@pruebas.com,14,5
991430192,test@pruebas.com,14,5
991431923,test@pruebas.com,14,5
98314861,test@pruebas.com,20,5
99279550,test@pruebas.com,20,5
98208705,test@pruebas.com,20,5
98208712,test@pruebas.com,20,5
98208737,test@pruebas.com,20,5
98208798,test@pruebas.com,20,5
98225200,test@pruebas.com,20,5
98293566,test@pruebas.com,20,5
991429555,test@pruebas.com,20,5
98053656,test@pruebas.com,36,5
98084446,test@pruebas.com,36,5
98113867,test@pruebas.com,36,5
98166755,test@pruebas.com,36,5
